group	left	right
adverbial	Am Abend	
adverbial	An der Leine	fängt der Hund keinen Hasen.
adverbial	Auch auf dem höchsten Thron	sitzt man auf dem eigenen Hintern.
adverbial	Auch in einer alten Kirche	kann man die Glocken noch läuten lassen.
adverbial	Auf alten Pfannen	lernt man kochen.
adverbial	Auf alten Schiffen	lernt man segeln.
adverbial	Auf der Kanzel	kann man eine schöne Messe lesen.
adverbial	Auf einem Bein	kann man nicht stehen.
adverbial	Auf fremdem Arsch	ist gut durch Feuer reiten.
adverbial	Auf seinem Misthaufen	ist der Hahn König.
adverbial	Bei Wölfen und Eulen	lernt man heulen.
adverbial	Im Dunkeln	ist gut munkeln.
adverbial	Im Mund	ist alles rund.
adverbial	Im Wein	liegt die Wahrheit.
adverbial	In der Mitte	geht man am sichersten.
adverbial	In der Nacht	sind alle Katzen grau.
adverbial	In der Not	frisst der Teufel fliegen.
adverbial	In der Ruhe	liegt die Kraft.
adverbial	Nachher	ist man immer klüger.
adverbial	Unter Blinden	ist der Einäugige König.
adverbial	Vor Gott	sind alle Menschen gleich.
comparative	Besser arm dran	als Arm ab.
comparative	Besser den Spatz in der Hand	als die Taube auf dem Dach.
comparative	Besser eigenes Brot	als fremder Braten.
comparative	Besser ein Ende mit Schrecken	als Schrecken ohne Ende.
comparative	Besser einäugig	als blind.
comparative	Besser schnell gestorben	als langsam verdorben.
comparative	Lieber arm und gesund	als reich und krank.
comparative	Lieber einen dicken Bauch vom Saufen	als einen krummen Buckel vom Arbeiten.
dative	Dem Betrübten	ist übel geigen.
dative	Dem Glücklichen	schlägt keine Stunde.
dative	Dem Hahn, der zu früh kräht,	dreht man den Hals um.
dative	Einem geschenkten Gaul	schaut man nicht ins Maul.
dative	Einem nackten Mann	kann man nicht in die Taschen greifen.
plural	Alle Wege	führen nach Rom.
plural	Alte Füchse	gehen schwer in die Falle.
plural	Andere Mütter	haben auch schöne Töchter.
plural	Ärzte	sind des Herrgotts Menschenflicker.
plural	Ausnahmen	bestätigen die Regel.
plural	Bäume	wachsen nicht in den Himmel.
plural	Betrunkene und Kinder	sagen die Wahrheit.
plural	Die dümmsten Bauern	haben die dicksten Kartoffeln.
plural	Die Letzten	werden die Ersten sein.
plural	Die Schweine von heute	sind die Schinken von morgen.
plural	Gegensätze	ziehen sich an.
plural	Getroffene Hunde	bellen.
plural	Gottes Wege	sind unergründlich.
plural	Heim und Herd	sind Goldes wert.
plural	Hund und Katz	vertragen sich nicht.
plural	Hunde, die bellen,	beißen nicht.
plural	Kinder und Narren	sagen die Wahrheit.
plural	Kleider	machen Leute.
plural	Lügen	haben kurze Beine.
plural	Neue Besen	kehren gut.
plural	Raubvögel	singen nicht.
plural	Reisende	soll man nicht aufhalten.
plural	Rostige Dächer	haben meist feuchte Keller.
plural	Scherben	bringen Glück.
plural	Schlafende Hunde	soll man nicht wecken.
plural	Stille Wasser	sind tief.
plural	Taten	
plural	Torheit und Stolz	wachsen auf einem Holz.
plural	Totgesagte	leben länger.
plural	Viele Köche	verderben den Brei.
plural	Vögel, die morgens singen,	holt abends die Katze.
